filename,transcript_nepali
20260115 104611_seg001.wav,दीप्रगतिमा अगाडी बड़ी रहे को छा. बातवरन छम्रक्छन का लागे हमी ले रुक रुपनू आवशेक छाल।
20260115 104649_seg000.wav,ती तपाई लाई मेरो मोबाईल दिखनू भईयो? आहा यो द्रूस्ट्रिया तो कत्ति सुंदर छा! मलाई माः कर दिनो होईज। माले छुकियेर र ऐसो गरेज।
20260115 104649_seg001.wav,काती बजे हुँ मलाई थिलो पई सब।
20260115 104729_seg000.wav,"नमस्ते, मा तपायलाय कसरी सहेव करना सक्छू? नमस्ते, ग्राहक सेवा केंदरमा तपायलाय स्वागत्साइब?"
20260115 104729_seg001.wav,ती मा तपाई को नाम दानना सकतू. नमस्ते. हजुर कु काल हमरा लागी महत्व पूर्ना चा. क्रिपया के ही समय प्रतिक्छा गरनो होला.
20260115 104729_seg002.wav,"तापाई को समस्या दर्धा भई सके को छा, मैं इसमा तुरुन्ताई काम सुरू गरने चुछु. सुरक्छा का लागी किह मा तपाई को पूरा नाम रो मोबाल नमबर जानना सकतू."
20260115 104729_seg003.wav,"ताजुर को email थेगाना के हो एक पतक फ़नी दिनो होसना, तबाई को जन्मामिति रुजु गरनो आवशेक साथ।"
20260115 104729_seg004.wav,अच्छाना पाइजाइपाइा साहेओ कर दीनो होला।
20260115 104829_seg000.wav,निश्चित हुनु हुश तपाय को बेक्तिकच जान्कारी पूर्न रूप मा सुरक्छित हुने छुए। मैले तपाय को खाता भीवरन हरूप भेला पारे अब अब अगाडि भीवरन हरूए।
20260115 104847_seg000.wav,ती तो पहले आफनो मोबाल एक बतक रीस्टार्ट करे रहे रहे नो भायो क्रिपया आफनो इंटरनेट कनेक्षन चाज करनो होला कहीली काही सिगनल कम हुदा इस्तो हुआ
20260115 104847_seg001.wav,तपाई को स्क्रीन को दाया पटी रहे को सेटिंग स पटन मा ख्लिक करनो होला तपाई ले आप अपडेट करनो भएको छा की चाहिना
20260115 104847_seg002.wav,प्लेज्टोर मा गईर नया सम्रक संगखरन डाउन्लोड करनू होसु.
20260115 104921_seg000.wav,तपाई को SIM कार्ड अरको फोन माहालेर एक पतक चेक करनो होला. तपाई को पास्वर्ड रिसेट करना को लागी मैं ले एवुता लिंक पताये कुछु.
20260115 104921_seg001.wav,"तपाईको पचिल्लो भुक्तानी सवल भएको देखिये न, क्रिपया बाइंक को भीवरन चेक करनो होस।"
20260115 104945_seg000.wav,तेखिन्चा मा इसको बिबरन बूझाउछू. हजुर को रिफ अंडरकम आउना चार देखिन्चा.
20260115 104945_seg001.wav,नपाई ले अल्लाइन बैंखिंग वा खल्ती इ सेवा मार्फ़त सजीले भुक्तानी घरने सकनो हुँछ्छा. नपाई को खाता मा ऐहीले शुरूप परस्टाने करते हैं.
20260115 104945_seg002.wav,अमाँ दात रखं पुगे को चाहिन जस्तो देखिन्छाँ.
20260115 105017_seg000.wav,मा तपाई को समस्या बुझन सक्छु. मला इसको लागी निकए दुखा लागे कुछा. हामी तपाई को समस्या कदर घर्छो?
20260115 105017_seg001.wav,मा यो समस्या चीटे समाधन करने प्रयास करने चुप। हजुर लाई भहेको असुविधा प्रति हमी छेमा प्रानी छुप।
20260115 105017_seg002.wav,तुली पए भहेरे गरी दिनो होला हमरो प्रावितिक तूली ले इसमा काम गरी रहे हो छाँ।
20260115 105047_seg000.wav,ती मा तपाई लाय अरुके ही सहवयो गरना सक्छू? हामरो सेवा प्रयो गरन भईगो मा धण्यवात्. तपाई को दिन सुबर होगषु.
20260115 105047_seg001.wav,"älltवन्よろदा भाथ। य蓄� Xiao tha zu 79, उ Go Then run Now In Then Give Your"
20260115 105047_seg002.wav,আমিলায ফিই সদমপ্পাক কানহ্ হলা নমাসি সি সাইয মাহাই একাদ্য আপাই দেলায সিাপাই ওদে তাযা পাযান মামাসি পাইলায একাদে কালা আমা
20260115 105542_seg000.wav,ఇంతనేనే సామాసింది సమాష్టి ఆఏమ సంవతాలమ తపికెక రాటుల మారహిన సంమాసినినినితి పిలిలిలలిలలి.
20260115 105542_seg001.wav,अपना पाँण बत्ति रात बले को छा बनी इसको अर्था तपाई को फाइबर्ट बाले करें रहे होगष।
20260115 105542_seg002.wav,इस्ता अवस्तामा कि भल मोडियेको वा छुडियेको चा कि चाहिना भहने र शुनिष्ठित करनो होग। रॉटर लाई रिसेट करना को लागी पचाधी रहे को गश्ट।
20260115 105542_seg003.wav,तरा द्यान दिनो होगषु। रिसेट करे पछी तपाये ले आफनो वाईफाई को नाम और पास्पर्ट पुना हा सेटआब करनो परने होँज़ा।
20260115 110106_seg000.wav,হাজूর খাত শির্রে লাকে হামর লে বা আসত্র রেয বি রूকে খাছু. कि तपाई ले भर्कराई कुने नया थाउ बटा अफनो मोबाईल बैंकिंग पर्टिजाइना?
20260115 110106_seg001.wav,"त्रिन्था ना गड़नो होस, तबाय को पैसा सुरक्छित्सा, हमी तुरुन तही नया बिन कार्ड पठाउने छाहूं।"
20260115 110222_seg000.wav,मा बूचु। सामान समय मा ना आउदा कती गार हुँचा। मा अइले नहीं घूरीयोर ले संपर्को गरुछू। तपाई को आर्डर नमबर।
20260115 110222_seg001.wav,नेपा 209 अहिले डिलिवरी को लागी निस्की सकेकुछा इदि सामान मन नपरेमा तपइले 7 दिन भिट्र फिरता रितर्न करना सक्नू
20260115 110222_seg002.wav,Delivery Rider तपाई को घर को नजीक के आई पूकनो भईको छा. क्रिपाई फोन उठाईणो हला. इस पटक भईको धिलाई को लागी हमी माफी छाहन छाहूं.
20260115 110301_seg000.wav,virt online हर नगालाग Boy give a message for online हजोला योटा सळिन्मéता सश्डेश् 454- dancing पत्टाइ दिन्छू Just before taking the next anti- droite ज़र बले नहीं घाणतामर्पा Dannandhi Add 16 d
20260115 110301_seg001.wav,अपजरको स्वास्तिय भीमा लि यो उपचार को संपूर्न कर्चा समेतनी छा. अरको पतक आउदा पुरान रिपूर्थ होरू पनी साथेमा लिरा आउनो होला.
20260115 110402_seg000.wav,"नमस्ते, हजुर, तपाई, सुबपरभात्, स्वागत्, धण्यवाद्"
20260115 110402_seg001.wav,
20260115 110402_seg002.wav,"नवी करन, रक्छ, रत, अपडेट, डान्लोर, अपलोर, खाता"
20260115 110402_seg003.wav,बीवरन भुक्धानी बाकी बालेंस रीफंड सुलका भ्याद
20260115 110402_seg004.wav,अटोपी जरान अवरुथ प्राविधिक मर्मण
20260115 110402_seg005.wav,"network, signal, router, fiber, bandwidth, gothi, order,"
20260115 110402_seg006.wav,"सामान, देली भरी, स्थान, गुरियर, फिर्डा, ट्राकिंग करो"
20260115 110402_seg007.wav,
20260115 110526_seg000.wav,"Canton, Lalitpur, Bakhtapur, Pokhara, Bharatpur, Birgara, Bhanswadi"
20260115 110526_seg001.wav,
20260115 110526_seg002.wav,"भूपंडोल, बालुवातार, बुधानिलकंथ, सानेपा, कौषला, तहमेल, बालाजुप।"
20260115 110526_seg003.wav,प्रेप्सी कोला बीराथनगर पुट्वल धरान इत्था हरी नेपाल गंज धन्गरी जनक पुर्धाम हेतुड़ा
20260115 110526_seg004.wav,प्रिधार्थ नगर भिर्दामोट भिरेंद्र नगर तुल्छीपूर गवुराही लहान बनेपा तुलेखेल
20260115 110526_seg005.wav,यिर्दिपूर्दमक् रत्ननगर् तिकापूर्ड बालिंग् तान्सेन्
20260115 110526_seg006.wav,"मिर्चाया, फिदिम, इलाम, गईगाट, पेसी सहर, मन्थलि"
20260115 110717_seg000.wav,velmente צם מכस्टिया विसा पृरस sensemental opinion
20260115 110717_seg001.wav,scholarship जान्गारी रह परमेनेन्ट रेसिदेन्सी को गाईड हुँछा. अजुर ले कुन सर्वेस को जान्गारी जाहिए को छा?
20260115 110853_seg000.wav,"अपने पर्णाली पर्णाली चाहिये मा बहनू हुश। मा मदद करना तयार सू। माफ करनू होला, हाम्पर अस्पताल मा अप्पॉइन्टमेंट पर्णाली चाहिये मा बहनू हुश।"
20260115 110853_seg001.wav,हजुर ले पिहाना 8 भजे भही सादे 12 भजी सबण हो<|nn|> भाश रौस cages ओं हो प्हाने राण डियारिछाप का शकेट्राmusic � dale विपीनू है भजे भज़साह हो हुँज प्हाने każखा race अबसक्र्ख पिहाने संग और सर्ही63ा वाओलियादिता sting
20260115 110853_seg002.wav,अजुर। साधारन हड़ी समच्टी समस्या हेरने भीभाक हाड छोरनी हो।
20260115 111017_seg000.wav,तर किना भनी ते सेले अथवा अनी ए दापी जब सम्मा
20260115 111017_seg001.wav,"सफल अपूर्न अनिवार्य, सष्टो महंगो, चीटो थिलो, नया पुराना"
20260115 111017_seg002.wav,सही गलत सपष्ट तुरुन्दे पिस्तारे अहिले सम्म फेरी सदे कहिले काही
20260115 111017_seg003.wav,तहिले पनी अन्तिम पटक पक्का निष्चेत समभव असमभव सायगे भी जाओ़ियें
20260115 111017_seg004.wav,
20260115 111105_seg000.wav,क्ये में तपायको पूरा नाम जानना सक्छू? सुरक्छा कलागी ख्रिपया तपायको जन्मव मीटी भुनि दिनो हुषू तपायको दर्ता घरीये को मोबाल नॉमबर यही परिज्ये।
20260115 111105_seg001.wav,ती तपाई ले आपनो नागरिक्ता नम्बर उपलब्थ गराउनो सकनो हुँछ्य। तपाई को भूवा और आमा को नाम की हूँ क्रिपाया बहनो होग।
20260115 111105_seg002.wav,तपाई को खाता कुण साखा मा खोली एको हो? मैं ले तपाई को मोबाल मा एव ता OTP कोर्ट पथा एको छुछूः।
20260115 111139_seg000.wav,अभीपाया उक्त छाअग्को कोट मला भने दिनू हुष। याद रखनु हुष यो कोट कसाले पनी शेर नगरनू हला।
20260115 111139_seg001.wav,"अभी ती तपाई ले कोर पावनो भईको छाईना भईनी, रिसेंट मा थिछनो होगष। हजुर, तपाई को भीबरन रोजू भईव।"
20260115 111139_seg002.wav,अब पा गाडि बरना सक्छु.
